iter	Passed	Remaining
425	2911	505
426	2923	499
427	2928	492
428	2934	485
429	2941	478
430	2950	472
431	2957	465
432	2963	458
433	2969	451
434	2974	444
435	2980	437
436	2986	430
437	2993	423
438	3000	416
439	3006	409
440	3013	403
441	3018	396
442	3023	389
443	3028	382
444	3034	374
445	3039	367
446	3044	361
447	3051	354
448	3056	347
449	3062	340
450	3070	333
451	3076	326
452	3082	319
453	3088	312
454	3093	305
455	3100	299
456	3105	292
457	3112	285
458	3117	278
459	3123	271
460	3131	264
461	3138	258
462	3145	251
463	3156	244
464	3161	237
465	3169	231
466	3174	224
467	3179	217
468	3185	210
469	3194	203
470	3201	197
471	3209	190
472	3214	183
473	3220	176
474	3228	169
475	3237	163
476	3243	156
477	3251	149
478	3257	142
479	3263	135
480	3275	129
481	3286	122
482	3293	115
483	3298	109
484	3306	102
485	3312	95
486	3320	88
487	3327	81
488	3333	74
489	3339	68
490	3344	61
491	3351	54
492	3361	47
493	3366	40
494	3373	34
495	3379	27
496	3384	20
497	3392	13
498	3400	6
499	3408	0
